time,field.x,field.y,field.z
1460464708937392950,1171.0,308.0,0.545576453209
1460464708989928960,1183.0,309.0,0.556222617626
1460464709042815923,1200.0,309.0,0.54913944006
1460464709094888925,1213.0,309.0,0.548196315765
1460464709147567033,1226.0,309.0,0.546099245548
1460464709212728023,1244.0,309.0,0.550927460194
1460464709286238908,1261.0,309.0,0.552323818207
1460464709347618103,1273.0,309.0,0.549396932125
1460464709414834976,1289.0,309.0,0.545198619366
1460464709481345891,1301.0,308.0,0.549267947674
1460464709540515899,1316.0,308.0,0.558498322964
1460464709598248958,1327.0,308.0,0.553427219391
1460464709649763107,1341.0,309.0,0.551590800285
1460464709711226940,1352.0,309.0,0.545145988464
1460464709765032052,1367.0,310.0,0.559227645397
1460464709821609020,1379.0,310.0,0.550453126431
1460464709876075029,1396.0,311.0,0.543029129505
1460464709938288927,1409.0,311.0,0.535594105721
1460464710001663923,1425.0,311.0,0.556849479675
1460464710062624931,1438.0,311.0,0.517189800739
1460464710130585908,1456.0,310.0,0.507773578167
1460464710217134952,1470.0,309.0,0.515981197357
1460464710292617082,1484.0,308.0,0.510509192944
1460464710354872941,1500.0,306.0,0.557591855526
1460464710418395996,1511.0,305.0,0.545158147812
1460464710474600076,1526.0,303.0,0.524228096008
1460464710538543939,1536.0,300.0,0.539592266083
1460464710602022886,1549.0,297.0,0.552658617496
1460464710662194013,1558.0,295.0,0.56769990921
1460464710720781087,1570.0,292.0,0.53029280901
1460464710766772985,1578.0,289.0,0.556684792042
1460464710832046985,1585.0,287.0,0.53661698103
1460464710896893978,1595.0,284.0,0.565043449402
1460464710943046092,1604.0,284.0,0.555430114269
1460464711013782978,1609.0,288.0,0.553612947464
1460464711082581043,1616.0,299.0,0.55929094553
1460464711139134883,1621.0,312.0,0.541269481182
1460464711211802959,1625.0,326.0,0.536641001701
1460464711290895938,1631.0,345.0,0.533609032631
1460464711353250980,1638.0,361.0,0.535798847675
1460464711415802955,1642.0,370.0,0.553743362427
1460464711490561962,1645.0,377.0,0.549637436867
1460464711562890052,1648.0,385.0,0.548240363598
1460464711627315998,1649.0,391.0,0.553262531757
1460464711687987089,1647.0,395.0,0.555978536606
1460464711750921010,1643.0,399.0,0.54964274168
1460464711828269958,1638.0,404.0,0.529436230659
1460464711902738094,1633.0,407.0,0.562357783318
1460464711969037055,1626.0,412.0,0.543901205063
1460464712057929992,1617.0,417.0,0.545943677425
1460464712163640022,1609.0,421.0,0.558292865753
1460464712249965906,1600.0,426.0,0.529804050922
1460464712321753025,1587.0,432.0,0.522154211998
1460464712397541046,1577.0,436.0,0.54754281044
1460464712476305961,1567.0,441.0,0.535047709942
1460464712540301084,1553.0,448.0,0.534936308861
1460464712598478078,1542.0,454.0,0.511079072952
1460464712659559965,1528.0,461.0,0.539065063
1460464712729075908,1517.0,466.0,0.544937729836
